aspect,segment,sentiment,review_id
Cleaning,I like deep cleaning and this vacuum allows that for sure,positive,0
Suction,Has great suction,positive,0
Attachments,the attachments work well,positive,0
Weight,It seems a little on the heavy side but it’s alright,negative,0
Carpet,Fluffs up the carpet nicely,positive,0
Maintenance,easy to keep clean,positive,0
Overall satisfaction,This vacuum works exactly like I wanted it to,positive,1
Performance,It picks up everything,positive,1
Overall satisfaction,Very good budget vacuum,positive,2
Cleaning,Cleans very well,positive,2
Size,Does not fit under the couch,negative,2
Cord,"I did not think to get a retractable cord, I wish I had",negative,2
Comparison,Sucked ups a cup of dirt in seconds that I robot left behind,positive,2
Suction,It has great suction,positive,3
Smoking,it started to smoke a little,negative,3
Ease of use,Luckily the sheet was very easy to remove,positive,3
Overall satisfaction,I love this,positive,5
Hair,it doesn't clog up,positive,5
Comparison,Best vacuum I've owned,positive,5
Overall satisfaction,Trabaja muy bien,positive,6
Ease of cleaning,fácil de limpiar los filtros,positive,6
Weight,no es muy liviana,negative,6
Appearance,bonito color,positive,6
Overall satisfaction,This vacuum is so great,positive,7
Cleaning lady's opinion,even the cleaning lady raves about it,positive,7
Cleaning lady's vacuum,She has a vacuum but only uses ours,positive,7
Reliability,after having to replace ours 3 times in the last 5 years,negative,8
Performance,This vacuum has surpassed my expectations,positive,8
Longevity,i hope it lasts forever!,positive,8
Overall satisfaction,Trabaja muy bien,positive,9
Ease of cleaning,fácil de limpiar los filtros,positive,9
Weight,no es muy liviana,negative,9
Appearance,bonito color,positive,9
Assembly,Easy to assemble,positive,11
Emptying tank,emptying tank is straight forward,positive,11
Suction,awesome suction,positive,11
Longevity,Hopefully it will last,positive,11
Overall satisfaction,This vacuum works exactly like I wanted it to,positive,12
Performance,It picks up everything,positive,12
Suction,Good suction,positive,14
Picks up,"picks up dog hair, dirt, hay, etc.",positive,14
Canister,Easy to empty canister.,positive,14
Filter,Easy to clean filter.,positive,14
Clogging,"Does get clogged, but easy to take apart and unclog, takes no time at all.",negative,14
